Census Block Group,count
4530011011.0,140
4530402001.0,58
4530021054.0,55
4530011032.0,52
4530410002.0,46
4530434001.0,41
4530023161.0,41
4530409001.0,36
4530023043.0,35
4530009024.0,35
4530400001.0,34
4530407003.0,34
4530401001.0,32
4530024411.0,31
4530024191.0,31
4530023074.0,31
4530003093.0,30
4530406003.0,29
4530022222.0,28
4530454003.0,28
4530023152.0,27
4530021074.0,27
4530439002.0,26
4530024111.0,26
4530407002.0,26
4530405002.0,24
4530024222.0,23
4530401002.0,23
4530416003.0,23
4530432003.0,22
4530021052.0,22
4530407004.0,22
4530021041.0,22
4530433002.0,22
4530023201.0,22
4530011012.0,21
4530015034.0,21
4530023132.0,21
4530023163.0,21
4530022221.0,21
4530431001.0,20
4530003041.0,20
4530406001.0,20
4530021081.0,20
4530442001.0,19
4530013122.0,19
4530020031.0,19
4530008023.0,18
4530009021.0,18
4530408003.0,18
4530433001.0,18
4530021111.0,18
4530004013.0,18
4530021102.0,18
4530024371.0,18
4910204081.0,18
4530008011.0,18
4530437001.0,18
4530021092.0,18
4530023261.0,17
4530021051.0,17
4530412001.0,17
4530025002.0,17
4530023272.0,17
4530403003.0,17
4530416002.0,17
4530023102.0,17
4530011031.0,16
4530454002.0,16
4530023143.0,16
4530422001.0,16
4530449002.0,16
4530024193.0,16
4530400003.0,16
4530023144.0,16
4530024511.0,16
4530410001.0,16
4530023253.0,15
4530407005.0,15
4530009022.0,15
4530023211.0,15
4530405001.0,15
4530440002.0,15
4530024431.0,14
4530011022.0,14
4530023241.0,14
4530403004.0,14
4530021121.0,14
4530011023.0,14
4530024031.0,14
4530003071.0,14
4530434002.0,14
4530024483.0,14
4530411001.0,14
4530409004.0,14
4530023162.0,13
4530324001.0,13
4530023041.0,13
4530024131.0,13
4530416001.0,13
4530021082.0,13
4530024101.0,13
4530422003.0,13
4530439003.0,13
4530023222.0,13
4530024102.0,13
4910204054.0,13
4530021103.0,13
4530022201.0,13
4530023151.0,13
4530308002.0,12
4530024132.0,12
4530024402.0,12
4910204062.0,12
4910203113.0,12
4530435003.0,12
4530415001.0,12
4530410004.0,11
4530022011.0,11
4530023221.0,11
4530013091.0,11
4530436003.0,11
4530418002.0,11
4530409003.0,11
4530303002.0,11
4910203341.0,11
4530023252.0,11
4530008022.0,11
4530424002.0,11
4530007001.0,11
4530318004.0,11
4530403002.0,11
4530021061.0,11
4530013073.0,11
4530421003.0,11
4530019151.0,10
4530019103.0,10
4530020032.0,10
4530453002.0,10
4530013082.0,10
4530003081.0,10
4530024242.0,10
4530024472.0,10
4530022141.0,10
4530023072.0,10
4530344002.0,10
4530010005.0,10
4530014023.0,10
4530022132.0,10
4530024121.0,10
4910204061.0,10
4530436002.0,10
4530022143.0,10
4530443001.0,9
4530024372.0,9
4530009023.0,9
4530303001.0,9
4530021053.0,9
4530021122.0,9
4530024072.0,9
4530431002.0,9
4530316002.0,9
4530401003.0,9
4530023101.0,9
4910204082.0,9
4530013111.0,9
4530009012.0,8
4530431003.0,8
4530021132.0,8
4530011021.0,8
4530015033.0,8
4530020021.0,8
4530432002.0,8
4530403001.0,8
4530023142.0,8
4530021112.0,8
4530024133.0,8
4530014031.0,8
4530451001.0,8
4530435001.0,8
4530023073.0,8
4530024481.0,8
4530024442.0,8
4530021123.0,8
4530021073.0,8
4530024373.0,8
4530004011.0,7
4530021113.0,7
4530022012.0,7
4530346002.0,7
4530008042.0,7
4530024471.0,7
4530024113.0,7
4530024383.0,7
4530003021.0,7
4530020043.0,7
4530024192.0,7
4530002054.0,7
4530024433.0,7
4530024422.0,7
4530024303.0,7
4530020062.0,7
4530014032.0,7
4530024532.0,7
4530024221.0,7
4530325002.0,7
4530402002.0,7
4530023131.0,7
4530319002.0,7
4530410003.0,7
4530309004.0,7
4530414001.0,7
4530424001.0,7
4530024412.0,7
4530013103.0,7
4530023141.0,7
4530438001.0,7
4530008041.0,7
4530408001.0,7
4530024382.0,6
4910204092.0,6
4530023042.0,6
4530409002.0,6
4910204052.0,6
4530406002.0,6
4530013121.0,6
4530024112.0,6
4530024441.0,6
4910204032.0,6
4530417001.0,6
4530023191.0,6
4530019203.0,6
4530024453.0,6
4530021072.0,6
4530020072.0,6
4530327002.0,6
4530421001.0,6
4530023254.0,6
4530015054.0,6
4530024482.0,6
4530015053.0,6
4530023231.0,6
4530432001.0,6
4910204063.0,6
4530015041.0,6
4530024233.0,6
4530023213.0,6
4530400004.0,6
4530421002.0,6
4530015031.0,6
4530400002.0,6
4910204102.0,5
4530404002.0,5
4530024032.0,5
4530008021.0,5
4530024491.0,5
4530024123.0,5
4530321002.0,5
4530023232.0,5
4910204104.0,5
4530024321.0,5
4530004012.0,5
4530317003.0,5
4530404001.0,5
4530020061.0,5
4530022131.0,5
4530323001.0,5
4530321001.0,5
4910205081.0,5
4530002043.0,5
4530002063.0,5
4530024073.0,5
4530024512.0,5
4530024443.0,5
4530325003.0,5
4530024122.0,5
4530022111.0,5
4530310003.0,5
4530021063.0,5
4530323003.0,5
4539800001.0,5
4530019202.0,5
4530019201.0,5
4530419001.0,5
4530013101.0,5
4530320004.0,5
4530019231.0,4
4530013123.0,4
4530404003.0,4
4530023071.0,4
4530418001.0,4
4530013044.0,4
4530010003.0,4
4530024521.0,4
4530024432.0,4
4530010004.0,4
4530020041.0,4
4530306003.0,4
4530021131.0,4
4530319003.0,4
4530004022.0,4
4530024232.0,4
4530021101.0,4
4530304001.0,4
4530021133.0,4
4530013102.0,4
4530002031.0,4
4530006051.0,4
4530006012.0,4
4530024091.0,4
4530001014.0,4
4530332002.0,4
4530006082.0,4
4530021093.0,4
4530441002.0,4
4530411002.0,4
4530414002.0,4
4530024451.0,4
4530021091.0,4
4530010001.0,4
4530419002.0,4
4530330001.0,4
4530416004.0,4
4530012004.0,4
4530025003.0,3
4530006064.0,3
4530003025.0,3
4530452001.0,3
4530020022.0,3
4910203562.0,3
4530440001.0,3
4530317001.0,3
4530023212.0,3
4530422002.0,3
4530019145.0,3
4530024223.0,3
4910203111.0,3
4530008033.0,3
4530320001.0,3
4530341002.0,3
4530309003.0,3
4530023242.0,3
4530319001.0,3
4530012002.0,3
4910203112.0,3
4530015052.0,3
4530005001.0,3
4530420001.0,3
4530019122.0,3
4530024392.0,3
4530023233.0,3
4530342001.0,3
4530024522.0,3
4530302002.0,3
4530323002.0,3
4530003053.0,3
4530015011.0,3
4530435002.0,3
4530451002.0,3
4530449001.0,3
4530023145.0,3
4530439001.0,3
4910204051.0,3
4530002052.0,3
4530443003.0,3
4530313002.0,3
4530025004.0,3
4910204053.0,3
4530335002.0,3
4530303003.0,3
4910204042.0,3
4530013072.0,3
4530341001.0,3
4530022133.0,3
4530006062.0,3
4530023243.0,3
4530413003.0,3
4530024421.0,3
4530015043.0,3
4530309005.0,3
4530003092.0,3
4530358001.0,3
4530306001.0,3
4530006071.0,3
4530005002.0,2
4530024231.0,2
4530021042.0,2
4530013081.0,2
4530342004.0,2
4530019111.0,2
4530412002.0,2
4530318003.0,2
4530329001.0,2
4530310001.0,2
4530022142.0,2
4530019221.0,2
4530305003.0,2
4530347003.0,2
4530015032.0,2
4530009011.0,2
4530004023.0,2
4530405003.0,2
4530320003.0,2
4530302004.0,2
4530016021.0,2
4530002051.0,2
4530465002.0,2
4530016054.0,2
4530329003.0,2
4530318001.0,2
4530008032.0,2
4530408002.0,2
4530368001.0,2
4530450001.0,2
4530024401.0,2
4530006052.0,2
4530015044.0,2
4530372001.0,2
4530330003.0,2
4530003051.0,2
4530418003.0,2
4530343002.0,2
4530454001.0,2
4530316001.0,2
4530413001.0,2
4530006072.0,2
4530300004.0,2
4530019232.0,2
4530024092.0,2
4530005004.0,2
4530441001.0,2
4530023251.0,2
4530308004.0,2
4530002032.0,2
4530347001.0,2
4530313001.0,2
4530342002.0,2
4530453001.0,2
4530012005.0,2
4530003024.0,2
4530002061.0,2
4530006073.0,2
4530421004.0,2
4530014013.0,2
4530008031.0,2
4530023273.0,2
4530341003.0,2
4530308001.0,2
4530320002.0,1
4530306002.0,1
4530025005.0,1
4530019113.0,1
4910205091.0,1
4530310002.0,1
4530020071.0,1
4530021071.0,1
4530023271.0,1
4530025001.0,1
4530002041.0,1
4530312001.0,1
4530024461.0,1
4530326001.0,1
4530335001.0,1
4530335003.0,1
4530348002.0,1
4530019143.0,1
4530012003.0,1
4530305002.0,1
4530417002.0,1
4530002053.0,1
4530304003.0,1
4530002042.0,1
4530013071.0,1
4530317002.0,1
4530309002.0,1
4530024501.0,1
4530015014.0,1
4530334002.0,1
4530015042.0,1
4530367001.0,1
4910205171.0,1
4530006011.0,1
4530016022.0,1
4530006063.0,1
4530338002.0,1
4530016061.0,1
4530015051.0,1
4530021062.0,1
4530001021.0,1
4530001011.0,1
4530024391.0,1
4530338001.0,1
4530347002.0,1
4530016035.0,1
4530312004.0,1
4530330002.0,1
4530024093.0,1
4530006081.0,1
4530301002.0,1
4530346001.0,1
4530014022.0,1
4530024301.0,1
4530001022.0,1
4530019101.0,1
4530452002.0,1
4530306004.0,1
4530334001.0,1
4530016053.0,1
4530020042.0,1
4530013041.0,1
4530438002.0,1
4910205082.0,1
4910204101.0,1
4530325001.0,1
4530024241.0,1
4530024071.0,1
4530307001.0,1
4530004021.0,1
4530022211.0,1
4910205163.0,1
4530358002.0,1
4530019144.0,1
4530015012.0,1
4530016052.0,1
4530019131.0,1
4530014012.0,1
4530345001.0,1
4530302001.0,1
4530312002.0,1
