AFFGEOID,count
1500000US170318391001,132
1500000US170318424001,71
1500000US170310814011,67
1500000US170312605001,65
1500000US170318314001,61
1500000US170318429001,58
1500000US170313204001,57
1500000US170318346001,54
1500000US170318430002,53
1500000US170310818001,53
1500000US170312705001,51
1500000US170310817002,50
1500000US170318431001,49
1500000US170314906001,49
1500000US170313201021,48
1500000US170312607002,48
1500000US170318425001,47
1500000US170318424002,47
1500000US170318387001,47
1500000US170318378001,46
1500000US170310815003,46
1500000US170312608001,46
1500000US170316912002,45
1500000US170318430001,45
1500000US170318346002,45
1500000US170318415001,45
1500000US170318419002,45
1500000US170314207005,44
1500000US170314313023,42
1500000US170318434001,41
1500000US170318370001,41
1500000US170314402011,40
1500000US170318410001,39
1500000US170318388002,37
1500000US170318439001,37
1500000US170313301021,36
1500000US170314305001,36
1500000US170316609003,35
1500000US170316702001,35
1500000US170315401022,34
1500000US170310102021,33
1500000US170318411002,33
1500000US170314313013,33
1500000US170318422001,32
1500000US170314401011,32
1500000US170312315004,32
1500000US170317110002,32
1500000US170318446001,32
1500000US170318432002,32
1500000US170315401012,32
1500000US170316903002,31
1500000US170313406001,31
1500000US170312522023,31
1500000US170314910001,31
1500000US170314302003,31
1500000US170317105001,31
1500000US170318418002,31
1500000US170314914003,31
1500000US170315305011,31
1500000US170312601001,30
1500000US170312521011,30
1500000US170316911001,30
1500000US170312519004,30
1500000US170318411004,30
1500000US170316903001,29
1500000US170314005001,29
1500000US170313510003,29
1500000US170316915003,29
1500000US170318320001,29
1500000US170318391002,29
1500000US170312518003,29
1500000US170313814001,28
1500000US170310815002,28
1500000US170318343002,28
1500000US170312603001,28
1500000US170312909004,28
1500000US170312517001,28
1500000US170318373001,28
1500000US170312604001,28
1500000US170312602001,28
1500000US170312409001,28
1500000US170318368002,28
1500000US170316810002,27
1500000US170318355002,27
1500000US170314313022,27
1500000US170312435002,27
1500000US170316806001,27
1500000US170314909022,27
1500000US170316913002,27
1500000US170318340001,27
1500000US170313806003,27
1500000US170312522025,27
1500000US170312712001,26
1500000US170312808001,26
1500000US170314314003,26
1500000US170312508001,26
1500000US170316904003,26
1500000US170318314002,26
1500000US170318367002,26
1500000US170318313001,26
1500000US170312518002,26
1500000US170318380002,25
1500000US170318433001,25
1500000US170310812012,25
1500000US170314301012,25
1500000US170312414001,25
1500000US170313903002,25
1500000US170312610001,25
1500000US170314303001,25
1500000US170318368001,25
1500000US170312608002,25
1500000US170312925003,25
1500000US170314003001,25
1500000US170314503001,25
1500000US170314605007,24
1500000US170314314002,24
1500000US170315303001,24
1500000US170318381002,24
1500000US170312515004,24
1500000US170318390002,24
1500000US170315401011,24
1500000US170317110003,24
1500000US170316505003,24
1500000US170318342002,24
1500000US170314801002,24
1500000US170312307003,24
1500000US170312518004,24
1500000US170315103002,24
1500000US170314701001,24
1500000US170316915002,24
1500000US170318419001,24
1500000US170318402001,24
1500000US170316711001,23
1500000US170312516001,23
1500000US170316809004,23
1500000US170313504001,23
1500000US170316606005,23
1500000US170318342004,23
1500000US170318349002,23
1500000US170314305003,23
1500000US170318374002,23
1500000US170314302005,23
