"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25053_001E","Estimate!!Total:"
"B25053_001M","Margin of Error!!Total:"
"B25053_002E","Estimate!!Total:!!Owner occupied:"
"B25053_002M","Margin of Error!!Total:!!Owner occupied:"
"B25053_003E","Estimate!!Total:!!Owner occupied:!!Complete kitchen facilities"
"B25053_003M","Margin of Error!!Total:!!Owner occupied:!!Complete kitchen facilities"
"B25053_004E","Estimate!!Total:!!Owner occupied:!!Lacking complete kitchen facilities"
"B25053_004M","Margin of Error!!Total:!!Owner occupied:!!Lacking complete kitchen facilities"
"B25053_005E","Estimate!!Total:!!Renter occupied:"
"B25053_005M","Margin of Error!!Total:!!Renter occupied:"
"B25053_006E","Estimate!!Total:!!Renter occupied:!!Complete kitchen facilities"
"B25053_006M","Margin of Error!!Total:!!Renter occupied:!!Complete kitchen facilities"
"B25053_007E","Estimate!!Total:!!Renter occupied:!!Lacking complete kitchen facilities"
"B25053_007M","Margin of Error!!Total:!!Renter occupied:!!Lacking complete kitchen facilities"
