"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B09021_001E","Estimate!!Total:"
"B09021_001M","Margin of Error!!Total:"
"B09021_002E","Estimate!!Total:!!Lives alone"
"B09021_002M","Margin of Error!!Total:!!Lives alone"
"B09021_003E","Estimate!!Total:!!Householder living with spouse or spouse of householder"
"B09021_003M","Margin of Error!!Total:!!Householder living with spouse or spouse of householder"
"B09021_004E","Estimate!!Total:!!Householder living with unmarried partner or unmarried partner of householder"
"B09021_004M","Margin of Error!!Total:!!Householder living with unmarried partner or unmarried partner of householder"
"B09021_005E","Estimate!!Total:!!Child of householder"
"B09021_005M","Margin of Error!!Total:!!Child of householder"
"B09021_006E","Estimate!!Total:!!Other relatives"
"B09021_006M","Margin of Error!!Total:!!Other relatives"
"B09021_007E","Estimate!!Total:!!Other nonrelatives"
"B09021_007M","Margin of Error!!Total:!!Other nonrelatives"
"B09021_008E","Estimate!!Total:!!18 to 34 years:"
"B09021_008M","Margin of Error!!Total:!!18 to 34 years:"
"B09021_009E","Estimate!!Total:!!18 to 34 years:!!Lives alone"
"B09021_009M","Margin of Error!!Total:!!18 to 34 years:!!Lives alone"
"B09021_010E","Estimate!!Total:!!18 to 34 years:!!Householder living with spouse or spouse of householder"
"B09021_010M","Margin of Error!!Total:!!18 to 34 years:!!Householder living with spouse or spouse of householder"
"B09021_011E","Estimate!!Total:!!18 to 34 years:!!Householder living with unmarried partner or unmarried partner of householder"
"B09021_011M","Margin of Error!!Total:!!18 to 34 years:!!Householder living with unmarried partner or unmarried partner of householder"
"B09021_012E","Estimate!!Total:!!18 to 34 years:!!Child of householder"
"B09021_012M","Margin of Error!!Total:!!18 to 34 years:!!Child of householder"
"B09021_013E","Estimate!!Total:!!18 to 34 years:!!Other relatives"
"B09021_013M","Margin of Error!!Total:!!18 to 34 years:!!Other relatives"
"B09021_014E","Estimate!!Total:!!18 to 34 years:!!Other nonrelatives"
"B09021_014M","Margin of Error!!Total:!!18 to 34 years:!!Other nonrelatives"
"B09021_015E","Estimate!!Total:!!35 to 64 years:"
"B09021_015M","Margin of Error!!Total:!!35 to 64 years:"
"B09021_016E","Estimate!!Total:!!35 to 64 years:!!Lives alone"
"B09021_016M","Margin of Error!!Total:!!35 to 64 years:!!Lives alone"
"B09021_017E","Estimate!!Total:!!35 to 64 years:!!Householder living with spouse or spouse of householder"
"B09021_017M","Margin of Error!!Total:!!35 to 64 years:!!Householder living with spouse or spouse of householder"
"B09021_018E","Estimate!!Total:!!35 to 64 years:!!Householder living with unmarried partner or unmarried partner of householder"
"B09021_018M","Margin of Error!!Total:!!35 to 64 years:!!Householder living with unmarried partner or unmarried partner of householder"
"B09021_019E","Estimate!!Total:!!35 to 64 years:!!Child of householder"
"B09021_019M","Margin of Error!!Total:!!35 to 64 years:!!Child of householder"
"B09021_020E","Estimate!!Total:!!35 to 64 years:!!Other relatives"
"B09021_020M","Margin of Error!!Total:!!35 to 64 years:!!Other relatives"
"B09021_021E","Estimate!!Total:!!35 to 64 years:!!Other nonrelatives"
"B09021_021M","Margin of Error!!Total:!!35 to 64 years:!!Other nonrelatives"
"B09021_022E","Estimate!!Total:!!65 years and over:"
"B09021_022M","Margin of Error!!Total:!!65 years and over:"
"B09021_023E","Estimate!!Total:!!65 years and over:!!Lives alone"
"B09021_023M","Margin of Error!!Total:!!65 years and over:!!Lives alone"
"B09021_024E","Estimate!!Total:!!65 years and over:!!Householder living with spouse or spouse of householder"
"B09021_024M","Margin of Error!!Total:!!65 years and over:!!Householder living with spouse or spouse of householder"
"B09021_025E","Estimate!!Total:!!65 years and over:!!Householder living with unmarried partner or unmarried partner of householder"
"B09021_025M","Margin of Error!!Total:!!65 years and over:!!Householder living with unmarried partner or unmarried partner of householder"
"B09021_026E","Estimate!!Total:!!65 years and over:!!Child of householder"
"B09021_026M","Margin of Error!!Total:!!65 years and over:!!Child of householder"
"B09021_027E","Estimate!!Total:!!65 years and over:!!Other relatives"
"B09021_027M","Margin of Error!!Total:!!65 years and over:!!Other relatives"
"B09021_028E","Estimate!!Total:!!65 years and over:!!Other nonrelatives"
"B09021_028M","Margin of Error!!Total:!!65 years and over:!!Other nonrelatives"
