"School Year",State,"File Spec","Data Group","Reporting Level","Data Note","State Note"
"2020-2021,2019-2020","ALL STATES","150,151","695,698","LEA,SCH,SEA","Under the Elementary and Secondary Education Act of 1965, any student who receives a regular high school diploma, or higher diploma, within four years from when the student first started grade 9 is counted as a graduate in the 4-year adjusted cohort graduation rate (ACGR). Note that State educational agencies (SEAs) may have changed their requirements for a regular high school diploma to account for the impact of COVID-19. Changes to requirements for a regular high school diploma are at the discretion of the SEA. The Department advises caution when interpreting changes in school year 2019-2020 and school year 2020-2021 data as prior year data may be less comparable.","The state notes in all sections of ED Data Express reflect the views of the state only and do not necessarily reflect compliance with requirements or consistency with reporting instructions."
"2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011","ALL STATES","150,150151","695,695696","LEA,SCH","At the LEA- and School-levels, the subgroups 'Asian' and 'Native Hawaiian or Other Pacific Islanders' are aggregated and reported as 'Asian/Pacific Islander'.At the LEA- and School-levels, the subgroups 'Asian' and 'Native Hawaiian or Other Pacific Islanders' are aggregated and reported as 'Asian/Pacific Islander'.","The state notes in all sections of ED Data Express reflect the views of the state only and do not necessarily reflect compliance with requirements or consistency with reporting instructions."
2020-2021,"BUREAU OF INDIAN EDUCATION","150,151","695,696","LEA,SCH,SEA","Due to concerns with data quality, Four-Year ACGR data (FS150/DG695, FS151/DG696) have been suppressed for all levels for SY2020-2021.",
2020-2021,CALIFORNIA,"150,151","695,696","SCH,SEA","SEA to SCH Comparison: The SEA 4-Year Total Cohort Count is different from the aggregated SCH Total Cohort Count, when aggregated to the MAN, MB subgroups. 

Differences between SEA and SCH (by subgroup):
- MAN: 100 students, or 3.83%, 
- MB: 1281 students, or 4.53%","It has not been the CDE's practice to include ""direct-funded"" charters in the LEA file because CDE considers them to be schools. The Department understands that charter schools in California may elect to receive funding either directly from the State or locally through the LEA that granted its charter. Thus, the charter school may be considered a charter school LEA for funding purposes and reported in this file as an LEA rather than included in the counts for the LEA that authorized the charter school. Moving forward the CDE will include direct-funded charters and their corresponding data in the LEA file. This change will result in the data for the school file equaling the data in LEA file."
2020-2021,CONNECTICUT,"150,151","695,696","SCH,SEA","SEA to SCH Comparison: The SEA 4-Year Total Cohort Count is different from the aggregated SCH Total Cohort Count, when aggregated to the ALL, ECODIS, FCS, HOM, LEP, MB, MHL, MM, MW, CWD subgroups. 

Differences between SEA and SCH (by subgroup):
- ALL: 2315 students, or 5.63%, 
- ECODIS: 1704 students, or 9.08%, 
- FCS: 177 students, or 38.48%, 
- HOM: 79 students, or 19.41%, 
- LEP: 154 students, or 6.38%, 
- MB: 543 students, or 10.31%, 
- MHL: 750 students, or 7.63%, 
- MM: 86 students, or 6.4%, 
- MW: 897 students, or 3.98%, 
- CWD: 1634 students, or 24.03%","Differences between district total and school total is because students in outplaced facilities, including correctional facilities, are counted only in the district cohort. See the documentation on page 13, item 10 in the frequently asked questions section (Appendix B) 

https://edsight.ct.gov/relatedreports/ReportNotes_Grad.pdf"
2020-2021,DELAWARE,"150,151","695,696",SCH,"Reported Rate to Calculated Rate Comparison (SCH): The reported graduation rate (FS150) does not match the graduation rate calculated using reported counts (FS151) for 47 schools. The difference between the reported and calculated rates range from -80.00% to 66.67%. These should match by up to four decimal places.",
2020-2021,GEORGIA,"150,151","695,696","SCH,SEA","SEA to SCH Comparison: The SEA 4-Year Total Cohort Count is different from the aggregated SCH Total Cohort Count, when aggregated to the FCS, HOM, LEP, CWD subgroups. 

Differences between SEA and SCH (by subgroup):
- FCS: 37 students, or 8.03%, 
- HOM: 1170 students, or 24.46%, 
- LEP: 344 students, or 4.8%, 
- CWD: 511 students, or 3.41%","A student at the SCH level might not qualify for the 4-Year Cohort Count, but qualified for the 4-Year Cohort Count at the SEA level."
"2020-2021,2019-2020,2018-2019",ILLINOIS,"150,151","695,696","LEA,SCH,SEA","Due to concerns with data quality, Four-Year ACGR data (FS150/DG695, FS151/DG696) have been suppressed from the SY 2018-19 Four-Year ACGR public files at the LEA and SCH levels and suppressed for all levels for SY2019-2020 AND SY2020-2021.",
2020-2021,IOWA,"150,151","695,696","SCH,SEA","SEA to SCH Comparison: The SEA 4-Year Total Cohort Count is 28 students different from the aggregated SCH Total Cohort Count, when aggregated to the FCS subgroup. This is a difference of 7.04%.","Tuitioned in-state paid students were reported back to SEA-level (state level accountability)."
2020-2021,KENTUCKY,"150,151","695,696","LEA,SCH,SEA","FS150 (DG695) and FS151 (DG696) SEA/LEA/SCH data were not reported for the following subgroup(s): FCS.",
2020-2021,LOUISIANA,"150,151","695,696","SCH,SEA","SEA to SCH Comparison: The SEA 4-Year Total Cohort Count is different from the aggregated SCH Total Cohort Count, when aggregated to the ALL, ECODIS, FCS, HOM, LEP, MA, MAN, MB, MHL, MM, MW, CWD subgroups. 

Differences between SEA and SCH (by subgroup):
- ALL: 3329 students, or 6.78%, 
- ECODIS: 2454 students, or 7.57%, 
- FCS: 35 students, or 35%, 
- HOM: 211 students, or 23.63%, 
- LEP: 107 students, or 9.01%, 
- MA: 34 students, or 3.85%, 
- MAN: 38 students, or 10.86%, 
- MB: 1589 students, or 7.5%, 
- MHL: 271 students, or 8.57%, 
- MM: 92 students, or 9.94%, 
- MW: 1297 students, or 5.75%, 
- CWD: 335 students, or 6.77%",
